2022-11-20_20-10-15,986.71,20.20,36.67
2022-11-20_20-11-15,986.72,20.46,36.26
2022-11-20_20-12-15,986.69,20.60,36.04
2022-11-20_20-13-15,986.71,20.66,35.87
2022-11-20_20-14-15,986.66,20.53,36.46
2022-11-20_20-15-15,986.67,20.39,36.56
2022-11-20_20-16-15,986.64,20.27,37.00
2022-11-20_20-17-16,986.64,20.18,37.02
2022-11-20_20-18-16,986.68,20.09,37.32
2022-11-20_20-19-16,986.63,20.02,37.30
2022-11-20_20-20-16,986.60,19.95,37.32
2022-11-20_20-21-16,986.59,19.89,37.38
2022-11-20_20-22-16,986.57,19.84,37.33
2022-11-20_20-23-16,986.61,19.80,37.44
2022-11-20_20-24-17,986.64,19.76,37.56
2022-11-20_20-25-17,986.66,19.73,37.56
2022-11-20_20-26-17,986.70,19.70,37.48
2022-11-20_20-27-17,986.65,19.67,37.76
2022-11-20_20-28-17,986.77,19.67,37.29
2022-11-20_20-29-17,986.73,19.86,36.98
2022-11-20_20-30-17,986.66,20.13,36.55
2022-11-20_20-31-18,986.66,20.32,36.28
2022-11-20_20-32-18,986.68,20.50,36.10
2022-11-20_20-33-18,986.66,20.64,35.81
2022-11-20_20-34-18,986.66,20.58,36.04
2022-11-20_20-35-18,986.67,20.43,36.57
2022-11-20_20-36-18,986.69,20.29,36.80
2022-11-20_20-37-18,986.66,20.18,37.04
2022-11-20_20-38-18,986.68,20.09,37.29
2022-11-20_20-39-19,986.72,20.01,37.37
2022-11-20_20-40-19,986.66,19.93,37.30
2022-11-20_20-41-19,986.62,19.86,37.48
2022-11-20_20-42-19,986.63,19.81,37.53
2022-11-20_20-43-19,986.64,19.77,37.69
2022-11-20_20-44-19,986.68,19.73,37.54
2022-11-20_20-45-19,986.59,19.70,37.56
2022-11-20_20-46-20,986.61,19.66,37.55
2022-11-20_20-47-20,986.63,19.62,37.78
2022-11-20_20-48-20,986.62,19.61,37.22
2022-11-20_20-49-20,986.66,19.77,37.01
2022-11-20_20-50-20,986.60,20.00,36.65
2022-11-20_20-51-20,986.57,20.33,36.39
2022-11-20_20-52-20,986.59,20.55,36.03
2022-11-20_20-53-20,986.50,20.65,35.84
2022-11-20_20-54-21,986.59,20.65,36.28
2022-11-20_20-55-21,986.48,20.55,42.12
2022-11-20_20-56-21,986.56,20.44,37.49
2022-11-20_20-57-21,986.53,20.37,37.50
